r205

capacity,speed
1000,10

osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
5178935608,802434,2496828,0,0,1000000,0
2397989503,803694,2497214,16,379,2304,30
2537521574,801692,2493790,8,500,3350,30
2407561640,800584,2491965,29,780,3988,30
2458958719,805603,2496065,18,563,2467,30
6917077811,801934,2489509,7,876,3220,30
6018598925,800221,2495250,8,490,2208,30
1236299334,801241,2497502,29,244,2827,30
5175418487,801562,2494136,9,380,2613,30
2425146598,799736,2495415,22,557,2679,30
1927123315,801167,2492067,3,679,2173,30
2704680806,803403,2497177,27,216,2150,30
5175418177,802065,2494232,39,510,2915,30
5179129473,801698,2499782,38,654,2067,30
5212671519,795091,2491039,16,1328,3446,30
2421455586,799384,2494346,4,676,2355,30
1169597007,797046,2491279,9,988,3674,30
1169608879,800257,2492553,21,740,4588,30
2703874298,800738,2498971,26,448,2296,30
1116415382,804342,2497500,6,476,1645,30
5776735612,799680,2495998,30,427,2024,30
6941780681,806461,2496011,14,539,4484,30
1768207574,799871,2497174,33,509,3103,30
2540889588,797463,2491215,26,1223,3834,30
6897212456,802956,2494315,7,351,2201,30
2132634050,800302,2495394,12,395,1551,30
5259214309,799228,2496566,25,637,4150,30
2958627142,800637,2496653,7,524,3373,30
1117026381,799819,2498234,5,521,1696,30
5178935351,802945,2494967,20,365,1485,30
2408506485,803043,2495321,6,371,3118,30
2562711437,801808,2503563,21,892,2089,30
1169607885,798764,2488874,20,1065,3141,30
4023694067,809651,2502571,16,1309,3864,30
1169593428,798577,2494058,13,794,1952,30
2458958720,804521,2495927,8,358,1509,30
3624956843,806486,2494260,8,763,2995,30
2758919194,805152,2506129,38,1412,2511,30
5445931884,800252,2497928,29,361,5713,30
2398034770,803755,2495676,5,394,3942,30
5356142027,804690,2494966,15,512,1695,30
5226662710,798310,2494954,22,745,3365,30
2557050005,796229,2490751,20,1116,5007,30
1169605215,798579,2494212,7,761,2091,30
5361435722,804836,2495394,37,495,3675,30
2411114349,800854,2492151,0,693,2133,30
5179129474,801714,2499740,20,499,3005,30
2435324663,799556,2496047,20,415,2864,30
3624957020,806818,2494448,34,770,2030,30
5807247127,796682,2490716,17,1089,2626,30
6483275083,800371,2495935,13,429,1496,30
2703862961,800692,2499298,19,510,3445,30
2539588712,799913,2495242,10,488,2451,30
2973574014,807139,2498353,7,697,3376,30
2431806912,800865,2493452,27,525,3291,30
5643323869,796889,2492013,21,1019,3048,30
2423992180,799100,2493160,17,854,1960,30
3960599129,807447,2501770,29,1064,3839,30
2398019417,801543,2495289,15,405,1802,30
2500292454,803378,2494357,12,485,3539,30
2623035757,799464,2493916,23,636,3866,30
1169605679,801352,2490898,7,699,2134,30
2398279278,806295,2495236,6,575,2693,30
277049982,800943,2497268,29,386,2579,30
2462840703,801045,2493290,12,474,2299,30
5141560614,803355,2499974,30,458,1717,30
2758882779,804751,2506242,19,1281,2441,30
1169603815,797866,2492922,16,983,5137,30
5559614308,799184,2493498,25,677,1951,30
2533159896,805275,2496419,18,677,1849,30
4889565109,795686,2492867,25,1124,2404,30
1116457380,803476,2499461,0,593,1986,30
5356620885,804574,2495964,27,490,2282,30
2469954168,800000,2494176,37,584,1831,30
3792906075,803087,2492037,14,657,1725,30
5179129422,801710,2499478,4,585,4149,30
2537595247,804421,2495193,10,414,4251,30
1925243310,802774,2493896,12,377,2746,30
1169595579,797969,2492656,3,852,2690,30
1169594476,797038,2488399,5,1314,3431,30
2542653125,800888,2494740,9,405,3559,30
2528889196,805846,2495119,2,533,3569,30
2699876468,805503,2495760,14,453,1583,30
2562510199,802328,2503096,22,1089,2870,30
2458963377,805601,2495523,16,416,2841,30
1116415374,805827,2495902,5,593,4288,30
5567304367,798418,2496380,13,534,2968,30
294966695,798831,2493827,39,786,2580,30
1169612339,796703,2490336,22,1051,2265,30
6848874189,806622,2501286,11,956,4061,30
2132748484,802399,2501874,0,795,2505,30
6270515644,800454,2495040,25,606,2004,30
6483273490,800031,2495940,26,357,3578,30
2291907893,801298,2495096,20,473,2861,30
2537975305,801516,2494595,22,345,3661,30
2535861765,803333,2499150,20,528,1606,30
2701105222,800681,2497955,16,613,1736,30
5179594960,800287,2495017,19,635,3647,30
2406874777,800640,2494873,20,503,1693,30
2408506406,802738,2494835,19,415,1990,30
1169613431,799073,2494243,24,724,1987,30
