r203

capacity,speed
1000,10

osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
5178935608,802434,2496828,0,0,1000000,0
2537600060,804414,2495846,31,365,1900,30
6020940626,797939,2495598,36,740,3465,30
2540889544,797384,2491213,24,1175,3031,30
1236299556,801769,2497764,20,211,2900,30
2539273837,802352,2495048,31,439,4091,30
2462888322,801239,2491730,28,828,1965,30
3166565789,802506,2491709,17,778,3748,30
2540889539,797434,2491016,32,1242,4563,30
4898987120,800397,2496400,21,377,1478,30
1169604916,796794,2487860,7,1482,3765,30
1169616819,799549,2489982,29,972,2524,30
5193738517,806744,2502603,20,1012,2652,30
2299624604,800518,2494533,37,615,2685,30
5212670489,794807,2492377,19,1310,3052,30
4850176523,800365,2490824,7,797,3122,30
2364215062,806413,2501306,11,868,2617,30
2500292447,803218,2494417,6,486,4281,30
6848874204,806509,2501360,20,967,4222,30
2472123486,800396,2498051,17,375,4592,30
2456381169,802395,2495223,12,317,1615,30
6581539532,801670,2492565,3,546,3595,30
5193738529,807317,2501768,37,1033,2570,30
5901300795,800279,2494870,18,476,2876,30
6578866474,801841,2490720,23,754,3108,30
2703862974,800767,2499045,0,480,4211,30
2541029245,798003,2491506,2,902,3228,30
2411120903,801463,2492809,18,549,2943,30
2508090951,802668,2500001,3,591,2767,30
2541029292,797789,2492424,29,1062,4440,30
2528898774,804809,2496688,25,538,2368,30
1116457164,805519,2497593,23,754,2887,30
2400176716,801847,2495589,14,467,2974,30
2553922005,806504,2498423,28,768,2020,30
2411114383,800675,2492836,29,552,1996,30
2457761603,798788,2496001,30,665,3532,30
2404417796,801547,2494993,7,466,1992,30
2557050043,796034,2490684,30,1248,4263,30
2508090952,802714,2499993,33,568,2584,30
2699550401,807615,2496209,0,717,2587,30
2562508064,801635,2503410,39,972,3269,30
1169592840,800411,2490025,25,844,1974,30
2299600427,801609,2495814,28,409,1813,30
2537600106,804503,2495512,13,421,1863,30
1169595261,797099,2489036,21,1268,3623,30
2531767569,800233,2490820,23,923,2299,30
4729093857,802049,2492039,25,677,2228,30
1943410598,803278,2500425,13,646,2331,30
2476197705,802405,2495593,20,324,2440,30
5212670477,795233,2490493,37,1272,4631,30
5445976860,800924,2497188,15,383,2160,30
1169609305,795443,2492107,14,1297,2746,30
5693598303,796819,2491052,15,1118,2515,30
1117085056,805599,2498285,28,567,2391,30
3016780711,804105,2502100,26,821,2874,30
1169607793,799298,2494377,22,690,1838,30
5176855396,805711,2501461,20,885,3752,30
2508090891,801514,2499057,21,412,2613,30
1116448564,802723,2494753,31,397,3240,30
2643548376,802696,2490005,18,895,4463,30
2407726224,800492,2495557,18,517,1773,30
1169614399,798691,2488841,20,1221,3091,30
5192382427,802849,2490033,33,902,4034,30
2704680924,803559,2497150,7,190,1733,30
1927149708,800243,2494184,37,554,3295,30
6884069559,802466,2493152,14,561,3789,30
2533159921,804776,2496221,23,412,2792,30
1169604969,800311,2492333,14,700,2335,30
6222133072,800744,2500527,16,773,2960,30
2537806946,805900,2494501,6,678,4215,30
2540889550,797464,2490965,28,1260,3576,30
2556615951,796343,2489239,16,1439,2525,30
2702742013,799841,2497515,26,439,1969,30
2423992200,799796,2493655,15,760,2832,30
5170027911,798296,2488906,25,1117,3015,30
5193778513,799264,2488198,5,1181,3687,30
2535861812,803661,2497830,25,358,4218,30
5232900484,802695,2500575,35,640,1777,30
2428181061,800315,2493289,31,717,2177,30
2411114351,800786,2492724,37,607,2892,30
2528997124,807644,2497638,14,719,2165,30
6578885723,802377,2491239,34,626,2541,30
3624956993,806510,2494343,36,733,5385,30
5192382035,801828,2491493,21,658,1967,30
294966812,800952,2489650,9,1015,3975,30
2758919196,804769,2504777,14,1254,4252,30
2411114402,800804,2492837,10,555,1829,30
2699876466,806178,2495472,29,658,1849,30
4889417411,797949,2495338,32,728,2871,30
5777505990,806758,2502019,15,1054,4238,30
5177209908,803302,2496138,1,205,1756,30
1169613678,801073,2489939,7,937,2298,30
2409704614,803142,2494014,14,364,4644,30
5445825349,800149,2493631,16,657,3214,30
2425050854,800341,2495015,32,557,2402,30
793893699,801190,2497159,1,234,3888,30
4899192474,806544,2497509,18,665,2262,30
2533191767,805101,2497382,13,477,2363,30
2505522923,800910,2501168,3,748,4379,30
1169592163,802173,2490762,24,697,3474,30
1169611458,801788,2491019,21,709,1768,30
