rc104

capacity,speed
200,10

osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
5178935608,802434,2496828,0,0,1000000,0
5865250264,799519,2490505,29,998,1860,30
1121499506,800516,2490726,20,853,1681,30
2531767555,800341,2490745,33,854,1275,30
2531767560,800390,2490207,38,1066,1855,30
1169608699,799806,2490065,15,1050,1741,30
2409719684,799630,2490469,15,894,1981,30
1169592727,799876,2490080,24,942,1704,30
1169596271,800182,2490056,32,997,1465,30
5223826152,800519,2490361,23,1074,1381,30
2557057117,796072,2491424,18,1176,1814,30
1169600072,795669,2490933,26,1244,1824,30
1169605879,795719,2491305,21,1326,1846,30
5693598575,796810,2490987,34,1245,1949,30
5693598555,796498,2491503,13,1093,1609,30
1169602333,796441,2490343,22,1094,1707,30
2557057118,796044,2491505,23,1366,1736,30
1169615339,796500,2490338,11,1310,1878,30
2557050027,796178,2490658,26,1242,1590,30
5807247303,798352,2492881,32,974,1723,30
5843414457,797575,2487769,16,1240,2000,30
2537806950,804747,2493757,11,847,1565,30
5232900484,802695,2500575,34,648,1079,30
2959089978,805325,2498684,8,578,1379,30
2458967916,805032,2495752,6,597,1619,30
2297484478,803034,2495648,25,411,1619,30
5843414433,797064,2487734,16,1493,1854,30
2553916746,805747,2498475,0,710,1179,30
5567121742,805035,2498268,2,644,1289,30
5567121705,804847,2498320,29,579,1181,30
2400039355,801199,2494425,14,374,1424,30
5179534495,803016,2495784,7,300,939,30
4844898453,799330,2489321,16,1220,1816,30
5865250243,799620,2490673,39,888,1725,30
294966482,801158,2491936,12,635,1695,30
2404427838,801069,2495184,38,414,1229,30
2428194133,800101,2492314,27,882,1962,30
2317023663,801593,2500360,10,525,1655,30
2550435246,805967,2498117,17,707,2122,30
1066120207,803844,2496051,22,308,755,30
2398019406,801150,2494540,36,524,871,30
2407561604,800412,2491960,17,863,1826,30
2411114383,800675,2492836,20,591,1513,30
5445931900,800217,2497674,28,360,987,30
5179677525,801051,2495025,28,631,1047,30
2541029307,798415,2493115,22,1012,1799,30
5903376007,804158,2497399,24,393,866,30
5981068632,799206,2488909,6,1127,1763,30
1169607598,797235,2488640,23,1418,1740,30
5131285258,800349,2494348,27,665,1335,30
2508090952,802714,2499993,24,629,1272,30
6160784009,803109,2495791,1,229,558,30
2426444182,801297,2494426,16,449,1503,30
2407756368,800250,2495253,36,432,966,30
2184499039,801178,2496413,28,404,913,30
2550463204,807081,2498233,18,706,1154,30
2539588714,799837,2495114,19,699,1797,30
5777506699,806678,2501932,23,1116,1759,30
2367052702,806442,2497834,17,535,1392,30
793893691,801827,2497251,27,472,825,30
1116457627,804441,2498341,27,499,1170,30
2425050879,800960,2495036,20,629,1310,30
2398034729,803640,2495419,17,551,946,30
5257529537,798628,2496936,22,614,2030,30
5140241020,801117,2499888,39,464,1142,30
5981068586,800157,2491447,20,965,1521,30
2562515540,801781,2502808,24,846,1264,30
1116415399,806801,2496287,4,558,1055,30
1925242417,802400,2493900,36,398,871,30
2184499023,801729,2496174,39,353,1410,30
6481741401,800729,2499031,35,640,1459,30
5173028363,807652,2502284,33,1162,1543,30
2550435224,805803,2498313,13,532,1377,30
2505516103,800362,2501268,30,806,1629,30
6848874198,806707,2501315,35,1086,1587,30
4729093943,802101,2490794,14,924,1640,30
2411114372,800719,2492302,28,608,941,30
5808598694,807958,2501279,26,1255,1848,30
6222105280,801474,2503093,21,830,1577,30
6848874122,806622,2501059,17,941,1260,30
2400176663,801537,2495773,25,357,1305,30
2431806912,800865,2493452,5,685,1819,30
4729093888,801196,2491987,36,571,1234,30
2531767578,800799,2490668,8,925,2100,30
2406688763,801143,2494716,14,442,1149,30
6822264618,806356,2501329,28,1062,1366,30
2550435191,805789,2498288,4,707,1459,30
2703898495,800791,2498880,1,603,1583,30
2643548900,804325,2493633,32,796,1763,30
2366083167,800724,2501049,34,797,2142,30
5173028135,807437,2501929,15,1099,1557,30
2672878946,798117,2489507,36,1193,1580,30
1222744048,798945,2489148,27,1186,1633,30
2533198930,804501,2498172,12,590,1165,30
2540889539,797434,2491016,11,1066,1598,30
1116448723,804623,2498952,14,722,1452,30
3627937204,806676,2493835,23,821,1652,30
2457901363,802191,2489746,37,794,1111,30
5179129472,801664,2499489,0,680,1971,30
1116458636,805086,2494324,2,747,1356,30
2537595223,804428,2495377,32,686,1645,30
